epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,76.7803,5.36792,0.05265,0.1786,4.77223,0.00332767,0.00332767,0.00332767
2,150.08,4.48522,0.13479,0.3572,3.89992,0.00659506,0.00659506,0.00659506
3,220.917,4.30863,0.1091,0.31045,4.20754,0.00979645,0.00979645,0.00979645
4,291.36,4.46365,0.10152,0.3235,4.05127,0.009703,0.009703,0.009703
5,362.213,4.32284,0.12131,0.36184,3.88971,0.009604,0.009604,0.009604
6,432.569,4.14336,0.12595,0.38458,3.80207,0.009505,0.009505,0.009505
7,503.041,4.00899,0.14027,0.40733,3.65686,0.009406,0.009406,0.009406
8,573.69,3.89287,0.17313,0.45366,3.47142,0.009307,0.009307,0.009307
9,643.35,3.79932,0.19377,0.49452,3.26825,0.009208,0.009208,0.009208
10,715.394,3.70938,0.21188,0.50927,3.25169,0.009109,0.009109,0.009109
11,784.008,3.59398,0.21693,0.52527,3.19957,0.00901,0.00901,0.00901
12,852.968,3.56183,0.2321,0.55055,3.12578,0.008911,0.008911,0.008911
13,932.231,3.46411,0.24558,0.55013,3.06576,0.008812,0.008812,0.008812
14,1015.16,3.40358,0.25021,0.58003,2.9839,0.008713,0.008713,0.008713
15,1099.56,3.34586,0.27001,0.57624,2.9252,0.008614,0.008614,0.008614
16,1182.09,3.27582,0.27127,0.59141,2.90946,0.008515,0.008515,0.008515
17,1255.64,3.24778,0.27633,0.58382,2.89677,0.008416,0.008416,0.008416
18,1324.27,3.18598,0.27085,0.59899,2.88342,0.008317,0.008317,0.008317
19,1394.35,3.14474,0.28812,0.60994,2.85686,0.008218,0.008218,0.008218
20,1464.53,3.07824,0.29949,0.62679,2.77431,0.008119,0.008119,0.008119
21,1533.64,3.04103,0.29697,0.63058,2.75852,0.00802,0.00802,0.00802
22,1602.89,3.00516,0.31676,0.63521,2.6696,0.007921,0.007921,0.007921
23,1672.02,2.94522,0.30371,0.62974,2.75292,0.007822,0.007822,0.007822
24,1741.46,2.91751,0.33446,0.65586,2.60295,0.007723,0.007723,0.007723
25,1810.4,2.88865,0.33109,0.64869,2.61292,0.007624,0.007624,0.007624
26,1879.59,2.82358,0.34162,0.65922,2.5746,0.007525,0.007525,0.007525
27,1948.74,2.77746,0.34078,0.66175,2.5904,0.007426,0.007426,0.007426
28,2018.12,2.72687,0.33319,0.66175,2.58076,0.007327,0.007327,0.007327
29,2087.29,2.73775,0.36394,0.67439,2.53683,0.007228,0.007228,0.007228
30,2157.04,2.67708,0.3551,0.67944,2.46985,0.007129,0.007129,0.007129
31,2226.4,2.64558,0.34541,0.68071,2.5662,0.00703,0.00703,0.00703
32,2296.03,2.61134,0.35973,0.67565,2.52937,0.006931,0.006931,0.006931
33,2365.51,2.57283,0.35847,0.68745,2.51184,0.006832,0.006832,0.006832
34,2435.07,2.5222,0.37784,0.68155,2.45883,0.006733,0.006733,0.006733
35,2504.35,2.48731,0.36647,0.67944,2.52104,0.006634,0.006634,0.006634
36,2573.47,2.47871,0.36521,0.68492,2.47831,0.006535,0.006535,0.006535
37,2642.87,2.4408,0.37068,0.68829,2.46464,0.006436,0.006436,0.006436
38,2712.25,2.40964,0.37616,0.70008,2.43523,0.006337,0.006337,0.006337
39,2781.17,2.37563,0.37279,0.7064,2.42867,0.006238,0.006238,0.006238
40,2850.37,2.34108,0.377,0.71061,2.44039,0.006139,0.006139,0.006139
41,2919.62,2.30596,0.39511,0.7043,2.41512,0.00604,0.00604,0.00604
42,2988.6,2.29965,0.40691,0.70514,2.3955,0.005941,0.005941,0.005941
43,3057.7,2.26272,0.4027,0.7123,2.39376,0.005842,0.005842,0.005842
44,3126.74,2.21363,0.39301,0.72409,2.37491,0.005743,0.005743,0.005743
45,3196.1,2.18796,0.40522,0.70261,2.38115,0.005644,0.005644,0.005644
46,3265.5,2.20061,0.40944,0.72283,2.38197,0.005545,0.005545,0.005545
47,3334.6,2.15136,0.41365,0.72072,2.36847,0.005446,0.005446,0.005446
48,3403.63,2.1136,0.40396,0.71946,2.37285,0.005347,0.005347,0.005347
49,3472.82,2.09011,0.40859,0.71693,2.37562,0.005248,0.005248,0.005248
50,3541.94,2.06208,0.41154,0.71146,2.38209,0.005149,0.005149,0.005149
51,3611.64,2.0243,0.41744,0.71398,2.38113,0.00505,0.00505,0.00505
52,3681.09,2.00508,0.41786,0.71609,2.36364,0.004951,0.004951,0.004951
53,3750.62,1.99579,0.42291,0.72367,2.34373,0.004852,0.004852,0.004852
54,3819.73,1.98047,0.4246,0.72873,2.32908,0.004753,0.004753,0.004753
55,3888.9,1.93997,0.41744,0.72999,2.34991,0.004654,0.004654,0.004654
56,3958.12,1.93363,0.42418,0.72704,2.32668,0.004555,0.004555,0.004555
57,4027.13,1.89881,0.41491,0.72789,2.37241,0.004456,0.004456,0.004456
58,4096.44,1.85512,0.42628,0.73463,2.37317,0.004357,0.004357,0.004357
59,4165.58,1.83999,0.42081,0.73589,2.35103,0.004258,0.004258,0.004258
60,4234.62,1.82904,0.4246,0.73336,2.34082,0.004159,0.004159,0.004159
61,4303.69,1.79863,0.42965,0.72578,2.37129,0.00406,0.00406,0.00406
62,4372.88,1.75999,0.42544,0.73336,2.38745,0.003961,0.003961,0.003961
63,4442.24,1.75146,0.41828,0.72325,2.38343,0.003862,0.003862,0.003862
64,4511.53,1.72767,0.42418,0.72704,2.38036,0.003763,0.003763,0.003763
65,4580.53,1.71807,0.42544,0.72915,2.39338,0.003664,0.003664,0.003664
66,4649.5,1.67832,0.42797,0.72999,2.39158,0.003565,0.003565,0.003565
67,4718.45,1.66112,0.43471,0.73799,2.38508,0.003466,0.003466,0.003466
68,4787.23,1.64604,0.43345,0.73041,2.39879,0.003367,0.003367,0.003367
69,4855.85,1.61156,0.43387,0.72957,2.41958,0.003268,0.003268,0.003268
70,4925.3,1.58298,0.43471,0.72704,2.44269,0.003169,0.003169,0.003169
71,4994.44,1.53519,0.43429,0.72746,2.4144,0.00307,0.00307,0.00307
72,5064.06,1.56107,0.42628,0.72915,2.41955,0.002971,0.002971,0.002971
73,5132.92,1.54328,0.43134,0.73168,2.44964,0.002872,0.002872,0.002872
74,5202.12,1.50191,0.43092,0.72746,2.43007,0.002773,0.002773,0.002773
75,5271.11,1.5012,0.43345,0.73842,2.43962,0.002674,0.002674,0.002674
76,5340.18,1.45345,0.43345,0.73589,2.45734,0.002575,0.002575,0.002575
77,5409.68,1.43391,0.43555,0.73463,2.45983,0.002476,0.002476,0.002476
78,5478.59,1.4418,0.43429,0.73842,2.4495,0.002377,0.002377,0.002377
79,5548.07,1.40903,0.43555,0.73842,2.46232,0.002278,0.002278,0.002278
80,5616.89,1.38483,0.43302,0.73294,2.49501,0.002179,0.002179,0.002179
81,5686.01,1.37493,0.43555,0.73715,2.50524,0.00208,0.00208,0.00208
82,5755.42,1.35981,0.43934,0.73336,2.49761,0.001981,0.001981,0.001981
83,5824.44,1.31771,0.44271,0.73757,2.49944,0.001882,0.001882,0.001882
84,5893.66,1.34649,0.43976,0.74136,2.52313,0.001783,0.001783,0.001783
85,5962.88,1.28461,0.44061,0.7401,2.50099,0.001684,0.001684,0.001684
86,6031.86,1.28134,0.43766,0.73926,2.51406,0.001585,0.001585,0.001585
